time,Constrained Defence Spending,Cumulative Defence Spending,rate of orders fulfilled,rate of expenses,Cumulative Earnings,stress_to_willingness,delay,shock,shock_pct
5.75,39.25604865,205.12374999999994,3.158779143786867,2.8814264895405906,3.0368183361101035,1.0,1,0.2,20%
6.0,39.13680225,216.04374999999993,3.2008879479341963,2.909120609704098,3.085355050603202,1.0,1,0.2,20%
6.25,39.01755585,226.96374999999992,3.2396348249481903,3.831599990792046,3.136414334793469,1.0,1,0.2,20%
6.5,38.898309450000006,237.8837499999999,3.2757027677312958,2.9886136257617895,3.0328204307707947,1.0,1,0.2,20%
6.75,38.779063050000005,248.8037499999999,3.3096128460190735,3.025360127513033,3.0830610306154584,1.0,1,0.2,20%
7.0,38.65981665,259.7237499999999,3.3417628943155497,3.0606136984909935,3.1328052563540156,1.0,1,0.2,20%
7.25,38.54057025,270.6437499999999,3.372456952893044,4.674668859939349,3.182006365623313,1.0,1,0.2,20%
7.5,38.42132385,281.5637499999999,3.401927672034524,3.1326736016121717,2.95411928189021,1.0,1,0.2,20%
7.75,38.30207745,292.48374999999993,3.4303533614252273,3.1673987669168358,3.0012387442141213,1.0,1,0.2,20%
8.0,38.18283105,303.40374999999995,3.4578709645951013,3.2014248802478344,3.0472557982530897,1.0,1,0.2,20%
8.25,38.205190247656255,314.32374999999996,3.4845859323947033,3.228457541459412,3.0921338630138613,1.0,1,0.2,20%
8.5,38.226215269531245,325.28437499999995,3.521793990280683,3.2652541897496716,3.136956331427537,1.0,1,0.2,20%
8.75,38.24590116445312,336.285625,3.5669579492647365,3.3094815483944977,3.181850796520464,1.0,1,0.2,20%
9.0,38.26424298125,347.3275,3.6181434956918355,3.3593594003059724,3.226909166672756,1.0,1,0.2,20%
9.25,38.141421175,358.40999999999997,3.6738740600023974,3.388492115363986,3.2721963833652823,1.0,1,0.2,20%
9.5,38.018599368749996,369.49249999999995,3.7215193481828788,4.840891382134811,3.3221382236770043,1.0,1,0.2,20%
9.75,37.8957775625,380.57499999999993,3.7628962927573975,3.424279840440671,3.126248117735416,1.0,1,0.2,20%
10.0,37.77295575625,391.6574999999999,3.799389878161375,3.4341051371053055,3.1855059968908432,1.0,1,0.2,20%
10.25,37.65013395,402.7399999999999,3.8320561198434415,3.459675108383625,3.2494308265756553,1.0,1,0.2,20%
10.5,37.52731214375,413.8224999999999,3.8617004891487836,3.4824525383607043,3.314597503581123,1.0,1,0.2,20%
10.75,37.4044903375,424.90499999999986,3.888937638702425,3.5030004396720056,3.380965894969037,1.0,1,0.2,20%
